Year,Month,Day,water_year,water_month,water_day,model,flow,rcp,month_name,period
1983,10,26,1984,1,26,CNRM-CM5,38479.3,4.5,Oct,1996
1984,1,14,1984,4,106,CCSM4,220629.88,4.5,Jan,1996
1984,1,29,1984,4,121,MIROC5,24144.55,4.5,Jan,1996
1984,2,10,1984,5,133,CMCC-CMS,301047.01,4.5,Feb,1996
1984,2,21,1984,5,144,CESM1-BGC,369048.25,4.5,Feb,1996
1984,2,21,1984,5,144,HadGEM2-ES,228931.74,4.5,Feb,1996
1984,2,22,1984,5,145,GFDL-CM3,45987.95,4.5,Feb,1996
1984,3,28,1984,6,180,CanESM2,103475.84,4.5,Mar,1996
1984,5,9,1984,8,222,HadGEM2-CC,72878.61,4.5,May,1996
1984,6,4,1984,9,248,ACCESS1-0,154507.69,4.5,Jun,1996
1987,11,27,1988,2,58,CESM1-BGC,63775.09,4.5,Nov,1996
1987,12,19,1988,3,80,CanESM2,199538.84,4.5,Dec,1996
1988,1,14,1988,4,106,HadGEM2-CC,77233.79,4.5,Jan,1996
1988,1,17,1988,4,109,CCSM4,314125.97,4.5,Jan,1996
1988,1,19,1988,4,111,GFDL-CM3,156517.81,4.5,Jan,1996
1988,1,21,1988,4,113,HadGEM2-ES,380137.72,4.5,Jan,1996
1988,1,25,1988,4,117,CMCC-CMS,54750.47,4.5,Jan,1996
1988,2,1,1988,5,124,CNRM-CM5,46882.82,4.5,Feb,1996
1988,2,22,1988,5,145,MIROC5,58954.28,4.5,Feb,1996
1988,5,3,1988,8,216,ACCESS1-0,48280.23,4.5,May,1996
1991,12,28,1992,3,89,GFDL-CM3,337661.43,4.5,Dec,1996
1992,1,15,1992,4,107,HadGEM2-ES,96751.59,4.5,Jan,1996
1992,2,1,1992,5,124,CCSM4,336132.27,4.5,Feb,1996
1992,2,8,1992,5,131,HadGEM2-CC,195781.72,4.5,Feb,1996
1992,2,16,1992,5,139,MIROC5,241642.89,4.5,Feb,1996
1992,2,26,1992,5,149,CMCC-CMS,264621.27,4.5,Feb,1996
1992,3,3,1992,6,155,CESM1-BGC,152249.45,4.5,Mar,1996
1992,4,7,1992,7,190,CNRM-CM5,120794.26,4.5,Apr,1996
1992,4,14,1992,7,197,ACCESS1-0,121721.11,4.5,Apr,1996
1992,5,25,1992,8,238,CanESM2,168816.47,4.5,May,1996
1996,1,13,1996,4,105,CMCC-CMS,242730.3,4.5,Jan,1996
1996,1,26,1996,4,118,CESM1-BGC,54274.69,4.5,Jan,1996
1996,2,4,1996,5,127,ACCESS1-0,75001.61,4.5,Feb,1996
1996,2,13,1996,5,136,MIROC5,48747.47,4.5,Feb,1996
1996,3,7,1996,6,159,HadGEM2-CC,289849.44,4.5,Mar,1996
1996,3,10,1996,6,162,CCSM4,191272.75,4.5,Mar,1996
1996,3,17,1996,6,169,CanESM2,290996.04,4.5,Mar,1996
1996,4,12,1996,7,195,GFDL-CM3,103487.98,4.5,Apr,1996
1996,4,26,1996,7,209,CNRM-CM5,225755.61,4.5,Apr,1996
1996,5,3,1996,8,216,HadGEM2-ES,97703.75,4.5,May,1996
1999,12,13,2000,3,74,CCSM4,113305.53,4.5,Dec,1996
2000,1,17,2000,4,109,CESM1-BGC,312796.46,4.5,Jan,1996
2000,2,2,2000,5,125,CanESM2,263977.49,4.5,Feb,1996
2000,2,3,2000,5,126,GFDL-CM3,55197.66,4.5,Feb,1996
2000,2,6,2000,5,129,MIROC5,90974.39,4.5,Feb,1996
2000,2,9,2000,5,132,HadGEM2-CC,112104.49,4.5,Feb,1996
2000,2,11,2000,5,134,ACCESS1-0,156202.43,4.5,Feb,1996
2000,3,5,2000,6,157,HadGEM2-ES,119315.78,4.5,Mar,1996
2000,3,13,2000,6,165,CMCC-CMS,61508.56,4.5,Mar,1996
2000,5,7,2000,8,220,CNRM-CM5,71024.04,4.5,May,1996
2004,1,16,2004,4,108,CCSM4,135960.62,4.5,Jan,1996
2004,1,26,2004,4,118,GFDL-CM3,96086.77,4.5,Jan,1996
2004,2,2,2004,5,125,HadGEM2-CC,393394.79,4.5,Feb,1996
2004,2,3,2004,5,126,CNRM-CM5,260449.95,4.5,Feb,1996
2004,2,19,2004,5,142,MIROC5,205595.44,4.5,Feb,1996
2004,3,6,2004,6,158,CMCC-CMS,342285.18,4.5,Mar,1996
2004,3,18,2004,6,170,CanESM2,82030.15,4.5,Mar,1996
2004,3,24,2004,6,176,ACCESS1-0,44736.38,4.5,Mar,1996
2004,5,3,2004,8,216,CESM1-BGC,89161.18,4.5,May,1996
2004,5,11,2004,8,224,HadGEM2-ES,30756.21,4.5,May,1996
2007,12,17,2008,3,78,HadGEM2-CC,321218,4.5,Dec,1996
2008,1,20,2008,4,112,GFDL-CM3,301300.61,4.5,Jan,1996
2008,2,1,2008,5,124,CanESM2,121397.88,4.5,Feb,1996
2008,2,18,2008,5,141,CMCC-CMS,35879.51,4.5,Feb,1996
2008,3,10,2008,6,162,MIROC5,190647.42,4.5,Mar,1996
2008,3,22,2008,6,174,CNRM-CM5,239519.45,4.5,Mar,1996
2008,4,3,2008,7,186,CCSM4,171703.87,4.5,Apr,1996
2008,4,3,2008,7,186,CESM1-BGC,84671.59,4.5,Apr,1996
2008,5,1,2008,8,214,HadGEM2-ES,112174.25,4.5,May,1996
2008,5,2,2008,8,215,ACCESS1-0,48231.11,4.5,May,1996
