Year,Month,Day,water_year,water_month,water_day,model,flow,rcp,month_name
2015,12,16,2016,3,77,MIROC5,340769.91,4.5,Dec
2016,1,11,2016,4,103,CanESM2,391364.68,4.5,Jan
2016,1,23,2016,4,115,CNRM-CM5,181792.14,4.5,Jan
2016,2,5,2016,5,128,CESM1-BGC,201544.56,4.5,Feb
2016,2,9,2016,5,132,HadGEM2-CC,159225.36,4.5,Feb
2016,2,20,2016,5,143,GFDL-CM3,216120.15,4.5,Feb
2016,3,2,2016,6,154,HadGEM2-ES,137639.28,4.5,Mar
2016,4,3,2016,7,186,CCSM4,42571.58,4.5,Apr
2016,4,16,2016,7,199,ACCESS1-0,101549.81,4.5,Apr
2016,6,15,2016,9,259,CMCC-CMS,29396.62,4.5,Jun
2019,12,23,2020,3,84,HadGEM2-CC,68563.31,4.5,Dec
2020,1,9,2020,4,101,CNRM-CM5,210024.25,4.5,Jan
2020,1,25,2020,4,117,ACCESS1-0,23975.77,4.5,Jan
2020,3,1,2020,6,153,GFDL-CM3,218820.46,4.5,Mar
2020,3,3,2020,6,155,CCSM4,102797.74,4.5,Mar
2020,3,3,2020,6,155,CESM1-BGC,355279.16,4.5,Mar
2020,3,3,2020,6,155,CMCC-CMS,335283.9,4.5,Mar
2020,3,5,2020,6,157,CanESM2,137731.33,4.5,Mar
2020,3,14,2020,6,166,MIROC5,307027.82,4.5,Mar
2020,3,31,2020,6,183,HadGEM2-ES,181379,4.5,Mar
2023,12,17,2024,3,78,CMCC-CMS,273518.99,4.5,Dec
2023,12,28,2024,3,89,ACCESS1-0,208255.83,4.5,Dec
2024,1,12,2024,4,104,HadGEM2-ES,74918.81,4.5,Jan
2024,2,2,2024,5,125,CNRM-CM5,361579.52,4.5,Feb
2024,2,14,2024,5,137,CanESM2,146452.28,4.5,Feb
2024,2,28,2024,5,151,HadGEM2-CC,73142.78,4.5,Feb
2024,2,29,2024,5,152,CCSM4,90527.11,4.5,Feb
2024,3,24,2024,6,176,MIROC5,95824.27,4.5,Mar
2024,4,4,2024,7,187,CESM1-BGC,89956.44,4.5,Apr
2024,4,4,2024,7,187,GFDL-CM3,58059.6,4.5,Apr
2028,1,25,2028,4,117,CanESM2,197520.68,4.5,Jan
2028,2,18,2028,5,141,CNRM-CM5,221624.29,4.5,Feb
2028,2,19,2028,5,142,GFDL-CM3,189284.93,4.5,Feb
2028,2,26,2028,5,149,CMCC-CMS,134026.99,4.5,Feb
2028,3,9,2028,6,161,HadGEM2-CC,111046.44,4.5,Mar
2028,3,10,2028,6,162,ACCESS1-0,95969.81,4.5,Mar
2028,4,3,2028,7,186,MIROC5,147529.67,4.5,Apr
2028,4,12,2028,7,195,CCSM4,88415.66,4.5,Apr
2028,4,13,2028,7,196,HadGEM2-ES,104624.36,4.5,Apr
2028,5,8,2028,8,221,CESM1-BGC,101039.85,4.5,May
2031,12,3,2032,3,64,GFDL-CM3,47974.72,4.5,Dec
2031,12,10,2032,3,71,MIROC5,407262.41,4.5,Dec
2032,1,4,2032,4,96,ACCESS1-0,158019.24,4.5,Jan
2032,1,28,2032,4,120,CNRM-CM5,352342.7,4.5,Jan
2032,2,12,2032,5,135,CanESM2,200667.95,4.5,Feb
2032,2,20,2032,5,143,HadGEM2-ES,168940.14,4.5,Feb
2032,2,22,2032,5,145,CCSM4,295516.46,4.5,Feb
2032,3,4,2032,6,156,CMCC-CMS,256044.48,4.5,Mar
2032,3,7,2032,6,159,CESM1-BGC,185943.82,4.5,Mar
2032,4,3,2032,7,186,HadGEM2-CC,67472.06,4.5,Apr
2035,11,19,2036,2,50,CCSM4,40673.1,4.5,Nov
2035,12,21,2036,3,82,CMCC-CMS,164810.16,4.5,Dec
2035,12,31,2036,3,92,CNRM-CM5,508649.83,4.5,Dec
2036,1,7,2036,4,99,GFDL-CM3,488912.35,4.5,Jan
2036,1,14,2036,4,106,HadGEM2-CC,54403.59,4.5,Jan
2036,2,2,2036,5,125,MIROC5,392937.5,4.5,Feb
2036,2,15,2036,5,138,CanESM2,101106.06,4.5,Feb
2036,2,15,2036,5,138,HadGEM2-ES,280968.86,4.5,Feb
2036,3,3,2036,6,155,ACCESS1-0,88317.42,4.5,Mar
2036,3,5,2036,6,157,CESM1-BGC,276830,4.5,Mar
2039,11,29,2040,2,60,ACCESS1-0,46932.09,4.5,Nov
2040,2,15,2040,5,138,CMCC-CMS,55648.1,4.5,Feb
2040,3,15,2040,6,167,CanESM2,238384.29,4.5,Mar
2040,3,16,2040,6,168,HadGEM2-ES,25348.2,4.5,Mar
2040,3,24,2040,6,176,CESM1-BGC,90800.7,4.5,Mar
2040,3,24,2040,6,176,CNRM-CM5,58794.67,4.5,Mar
2040,3,26,2040,6,178,GFDL-CM3,47827.66,4.5,Mar
2040,4,2,2040,7,185,MIROC5,222096.36,4.5,Apr
2040,4,19,2040,7,202,HadGEM2-CC,148205.87,4.5,Apr
2040,5,2,2040,8,215,CCSM4,69921.43,4.5,May
2044,1,18,2044,4,110,CCSM4,66989.23,4.5,Jan
2044,1,25,2044,4,117,MIROC5,554638.81,4.5,Jan
2044,1,29,2044,4,121,GFDL-CM3,193538.17,4.5,Jan
2044,2,16,2044,5,139,CNRM-CM5,163675.1,4.5,Feb
2044,2,20,2044,5,143,HadGEM2-ES,53241.56,4.5,Feb
2044,2,24,2044,5,147,CMCC-CMS,281770.25,4.5,Feb
2044,3,1,2044,6,153,ACCESS1-0,129737.34,4.5,Mar
2044,3,18,2044,6,170,HadGEM2-CC,100513.78,4.5,Mar
2044,3,21,2044,6,173,CanESM2,107846.48,4.5,Mar
2044,3,24,2044,6,176,CESM1-BGC,122819.11,4.5,Mar
2014,12,25,2015,3,86,GFDL-CM3,143237.34,4.5,Dec
2015,1,20,2015,4,112,CanESM2,355253.36,4.5,Jan
2015,1,23,2015,4,115,ACCESS1-0,386870.26,4.5,Jan
2015,1,28,2015,4,120,HadGEM2-CC,63076.36,4.5,Jan
2015,1,30,2015,4,122,MIROC5,207280.75,4.5,Jan
2015,2,15,2015,5,138,CCSM4,506988.35,4.5,Feb
2015,2,23,2015,5,146,CESM1-BGC,262670.46,4.5,Feb
2015,3,1,2015,6,152,HadGEM2-ES,149929.2,4.5,Mar
2015,3,26,2015,6,177,CMCC-CMS,71940.99,4.5,Mar
2015,3,28,2015,6,179,CNRM-CM5,55692.99,4.5,Mar
2016,12,24,2017,3,85,GFDL-CM3,50190.44,4.5,Dec
2017,2,3,2017,5,126,HadGEM2-CC,36371.55,4.5,Feb
2017,2,6,2017,5,129,CanESM2,247751.65,4.5,Feb
2017,2,11,2017,5,134,HadGEM2-ES,417177.96,4.5,Feb
2017,2,14,2017,5,137,CMCC-CMS,117307.83,4.5,Feb
2017,2,15,2017,5,138,ACCESS1-0,181780.21,4.5,Feb
2017,3,6,2017,6,157,CNRM-CM5,82459.7,4.5,Mar
2017,3,23,2017,6,174,CCSM4,174392.29,4.5,Mar
2017,4,9,2017,7,191,MIROC5,43905.43,4.5,Apr
2017,5,5,2017,8,217,CESM1-BGC,28752.29,4.5,May
2017,12,28,2018,3,89,MIROC5,180628.47,4.5,Dec
2018,1,14,2018,4,106,GFDL-CM3,210646.63,4.5,Jan
2018,2,10,2018,5,133,CNRM-CM5,272836.36,4.5,Feb
2018,2,17,2018,5,140,HadGEM2-ES,328211.67,4.5,Feb
2018,2,23,2018,5,146,ACCESS1-0,172883.14,4.5,Feb
2018,2,28,2018,5,151,CCSM4,256549.7,4.5,Feb
2018,3,4,2018,6,155,CESM1-BGC,350302.58,4.5,Mar
2018,3,14,2018,6,165,CanESM2,101714.86,4.5,Mar
2018,4,5,2018,7,187,HadGEM2-CC,29367.89,4.5,Apr
2018,4,7,2018,7,189,CMCC-CMS,89135.02,4.5,Apr
2018,11,17,2019,2,48,CNRM-CM5,115354.68,4.5,Nov
2019,1,2,2019,4,94,HadGEM2-CC,229954.11,4.5,Jan
2019,1,13,2019,4,105,GFDL-CM3,215164.93,4.5,Jan
2019,1,19,2019,4,111,MIROC5,178363.18,4.5,Jan
2019,2,26,2019,5,149,CESM1-BGC,127398.04,4.5,Feb
2019,3,7,2019,6,158,HadGEM2-ES,211606.29,4.5,Mar
2019,3,25,2019,6,176,CCSM4,357167.15,4.5,Mar
2019,4,5,2019,7,187,ACCESS1-0,50578.43,4.5,Apr
2019,4,6,2019,7,188,CMCC-CMS,53773.35,4.5,Apr
2019,5,2,2019,8,214,CanESM2,40591.94,4.5,May
2020,11,23,2021,2,54,CESM1-BGC,137160.8,4.5,Nov
2020,11,27,2021,2,58,HadGEM2-ES,48067.48,4.5,Nov
2021,1,10,2021,4,102,CMCC-CMS,202365.86,4.5,Jan
2021,1,13,2021,4,105,CCSM4,69873.42,4.5,Jan
2021,1,21,2021,4,113,GFDL-CM3,495644.9,4.5,Jan
2021,2,9,2021,5,132,HadGEM2-CC,602080.7,4.5,Feb
2021,2,27,2021,5,150,CanESM2,81926.63,4.5,Feb
2021,3,17,2021,6,168,CNRM-CM5,231116.74,4.5,Mar
2021,3,31,2021,6,182,ACCESS1-0,55222.22,4.5,Mar
2021,5,2,2021,8,214,MIROC5,57085.93,4.5,May
2022,1,20,2022,4,112,HadGEM2-CC,199013.75,4.5,Jan
2022,1,21,2022,4,113,GFDL-CM3,106206.79,4.5,Jan
2022,2,3,2022,5,126,CNRM-CM5,26274.97,4.5,Feb
2022,2,18,2022,5,141,ACCESS1-0,248289.61,4.5,Feb
2022,2,26,2022,5,149,MIROC5,105555.3,4.5,Feb
2022,3,1,2022,6,152,CESM1-BGC,291457.92,4.5,Mar
2022,3,9,2022,6,160,CMCC-CMS,126624.75,4.5,Mar
2022,3,25,2022,6,176,CanESM2,375510.18,4.5,Mar
2022,4,8,2022,7,190,HadGEM2-ES,280389.1,4.5,Apr
2022,5,6,2022,8,218,CCSM4,52178.28,4.5,May
2023,1,9,2023,4,101,CMCC-CMS,321887.7,4.5,Jan
2023,1,11,2023,4,103,GFDL-CM3,97527.41,4.5,Jan
2023,1,13,2023,4,105,CNRM-CM5,115082.98,4.5,Jan
2023,1,25,2023,4,117,CanESM2,71602.14,4.5,Jan
2023,2,4,2023,5,127,ACCESS1-0,100984.51,4.5,Feb
2023,2,23,2023,5,146,CCSM4,44539.99,4.5,Feb
2023,2,24,2023,5,147,MIROC5,47307.74,4.5,Feb
2023,3,14,2023,6,165,CESM1-BGC,241151.91,4.5,Mar
2023,4,7,2023,7,189,HadGEM2-ES,91390.85,4.5,Apr
2023,4,8,2023,7,190,HadGEM2-CC,29450.58,4.5,Apr
2024,11,21,2025,2,52,CMCC-CMS,362934.33,4.5,Nov
2025,1,2,2025,4,94,CanESM2,286071.46,4.5,Jan
2025,2,17,2025,5,140,CCSM4,65941.26,4.5,Feb
2025,2,23,2025,5,146,CNRM-CM5,255161.48,4.5,Feb
2025,3,24,2025,6,175,ACCESS1-0,146561.28,4.5,Mar
2025,4,2,2025,7,184,HadGEM2-CC,194948.67,4.5,Apr
2025,4,2,2025,7,184,MIROC5,241355.89,4.5,Apr
2025,4,8,2025,7,190,CESM1-BGC,77998.68,4.5,Apr
2025,4,22,2025,7,204,GFDL-CM3,136066.44,4.5,Apr
2025,5,27,2025,8,239,HadGEM2-ES,49477.59,4.5,May
2025,12,4,2026,3,65,ACCESS1-0,28922.95,4.5,Dec
2025,12,15,2026,3,76,HadGEM2-CC,91659.47,4.5,Dec
2026,1,11,2026,4,103,CNRM-CM5,364557.28,4.5,Jan
2026,1,15,2026,4,107,CanESM2,742132.82,4.5,Jan
2026,1,28,2026,4,120,CCSM4,58876.83,4.5,Jan
2026,2,28,2026,5,151,MIROC5,300532.99,4.5,Feb
2026,3,19,2026,6,170,CESM1-BGC,126501.54,4.5,Mar
2026,4,3,2026,7,185,HadGEM2-ES,48326.54,4.5,Apr
2026,4,5,2026,7,187,GFDL-CM3,81307.27,4.5,Apr
2026,4,8,2026,7,190,CMCC-CMS,190207.03,4.5,Apr
2027,1,11,2027,4,103,CESM1-BGC,409932.39,4.5,Jan
2027,2,2,2027,5,125,CNRM-CM5,334551.75,4.5,Feb
2027,2,3,2027,5,126,ACCESS1-0,128264.88,4.5,Feb
2027,2,24,2027,5,147,HadGEM2-CC,67512.21,4.5,Feb
2027,2,28,2027,5,151,CCSM4,246188.63,4.5,Feb
2027,3,9,2027,6,160,CanESM2,191395.91,4.5,Mar
2027,3,15,2027,6,166,GFDL-CM3,99821.93,4.5,Mar
2027,4,3,2027,7,185,MIROC5,248351.61,4.5,Apr
2027,4,26,2027,7,208,CMCC-CMS,107496.35,4.5,Apr
2027,6,19,2027,9,262,HadGEM2-ES,29388.92,4.5,Jun
2028,12,21,2029,3,82,MIROC5,49398.73,4.5,Dec
2029,1,21,2029,4,113,CMCC-CMS,97405.25,4.5,Jan
2029,1,25,2029,4,117,CanESM2,431117.89,4.5,Jan
2029,1,31,2029,4,123,CNRM-CM5,28287.07,4.5,Jan
2029,2,6,2029,5,129,ACCESS1-0,127203.41,4.5,Feb
2029,2,10,2029,5,133,HadGEM2-ES,250660.17,4.5,Feb
2029,2,20,2029,5,143,GFDL-CM3,140796.94,4.5,Feb
2029,3,3,2029,6,154,CCSM4,212626.34,4.5,Mar
2029,3,17,2029,6,168,HadGEM2-CC,327480.15,4.5,Mar
2029,4,3,2029,7,185,CESM1-BGC,127852.99,4.5,Apr
2029,12,29,2030,3,90,ACCESS1-0,100030.51,4.5,Dec
2030,1,13,2030,4,105,MIROC5,258514.17,4.5,Jan
2030,1,15,2030,4,107,CNRM-CM5,589889.87,4.5,Jan
2030,1,30,2030,4,122,CanESM2,44572.35,4.5,Jan
2030,2,16,2030,5,139,GFDL-CM3,90843.88,4.5,Feb
2030,3,1,2030,6,152,CCSM4,102966.14,4.5,Mar
2030,3,4,2030,6,155,CMCC-CMS,372963.74,4.5,Mar
2030,3,7,2030,6,158,HadGEM2-CC,235921.58,4.5,Mar
2030,3,8,2030,6,159,CESM1-BGC,163973.59,4.5,Mar
2030,3,8,2030,6,159,HadGEM2-ES,98823.82,4.5,Mar
2031,1,6,2031,4,98,MIROC5,226002.93,4.5,Jan
2031,1,9,2031,4,101,CNRM-CM5,83173.65,4.5,Jan
2031,1,24,2031,4,116,GFDL-CM3,290730.07,4.5,Jan
2031,1,28,2031,4,120,CCSM4,322766.46,4.5,Jan
2031,2,7,2031,5,130,ACCESS1-0,94636.83,4.5,Feb
2031,2,15,2031,5,138,CESM1-BGC,379152.2,4.5,Feb
2031,2,19,2031,5,142,HadGEM2-CC,142313.17,4.5,Feb
2031,3,4,2031,6,155,CMCC-CMS,60284.9,4.5,Mar
2031,3,26,2031,6,177,HadGEM2-ES,62689.09,4.5,Mar
2031,4,21,2031,7,203,CanESM2,114294.15,4.5,Apr
2032,11,25,2033,2,56,CCSM4,284443.16,4.5,Nov
2032,12,10,2033,3,71,CMCC-CMS,27293.8,4.5,Dec
2032,12,27,2033,3,88,MIROC5,289966.17,4.5,Dec
2033,1,16,2033,4,108,GFDL-CM3,257481.73,4.5,Jan
2033,2,7,2033,5,130,CanESM2,233982.59,4.5,Feb
2033,2,12,2033,5,135,CNRM-CM5,370561.49,4.5,Feb
2033,2,22,2033,5,145,CESM1-BGC,253531,4.5,Feb
2033,2,22,2033,5,145,HadGEM2-ES,167167.28,4.5,Feb
2033,3,2,2033,6,153,HadGEM2-CC,76540.08,4.5,Mar
2033,4,4,2033,7,186,ACCESS1-0,109669.31,4.5,Apr
2033,10,3,2034,1,3,HadGEM2-ES,27314.37,4.5,Oct
2033,12,8,2034,3,69,CCSM4,95345.14,4.5,Dec
2033,12,29,2034,3,90,CMCC-CMS,50039.78,4.5,Dec
2034,1,6,2034,4,98,CNRM-CM5,191170.26,4.5,Jan
2034,2,24,2034,5,147,CanESM2,273001.3,4.5,Feb
2034,2,26,2034,5,149,CESM1-BGC,72817.63,4.5,Feb
2034,3,7,2034,6,158,ACCESS1-0,195549.41,4.5,Mar
2034,3,20,2034,6,171,GFDL-CM3,267171.14,4.5,Mar
2034,3,20,2034,6,171,MIROC5,194756.96,4.5,Mar
2034,4,3,2034,7,185,HadGEM2-CC,127921.91,4.5,Apr
2034,12,30,2035,3,91,MIROC5,47139.52,4.5,Dec
2035,1,28,2035,4,120,CCSM4,181784.21,4.5,Jan
2035,1,28,2035,4,120,CNRM-CM5,398419.47,4.5,Jan
2035,2,25,2035,5,148,ACCESS1-0,217760.72,4.5,Feb
2035,3,3,2035,6,154,CanESM2,73201.25,4.5,Mar
2035,3,4,2035,6,155,GFDL-CM3,100009.58,4.5,Mar
2035,3,7,2035,6,158,CESM1-BGC,335582.02,4.5,Mar
2035,3,17,2035,6,168,HadGEM2-CC,129511.06,4.5,Mar
2035,3,22,2035,6,173,CMCC-CMS,109506.66,4.5,Mar
2035,4,2,2035,7,184,HadGEM2-ES,35007.04,4.5,Apr
2037,1,15,2037,4,107,HadGEM2-CC,269183.75,4.5,Jan
2037,1,20,2037,4,112,CanESM2,693023.92,4.5,Jan
2037,1,23,2037,4,115,ACCESS1-0,30987.47,4.5,Jan
2037,2,6,2037,5,129,CCSM4,249703.22,4.5,Feb
2037,2,10,2037,5,133,GFDL-CM3,142676.67,4.5,Feb
2037,2,12,2037,5,135,CNRM-CM5,413588.39,4.5,Feb
2037,2,14,2037,5,137,HadGEM2-ES,101844.87,4.5,Feb
2037,3,9,2037,6,160,CESM1-BGC,338109.82,4.5,Mar
2037,3,10,2037,6,161,MIROC5,260518.91,4.5,Mar
2037,3,14,2037,6,165,CMCC-CMS,54857.2,4.5,Mar
2037,11,20,2038,2,51,CESM1-BGC,96008.04,4.5,Nov
2037,11,21,2038,2,52,HadGEM2-ES,162802.25,4.5,Nov
2037,12,4,2038,3,65,ACCESS1-0,462208.58,4.5,Dec
2038,1,9,2038,4,101,GFDL-CM3,118607.06,4.5,Jan
2038,1,11,2038,4,103,MIROC5,366776.72,4.5,Jan
2038,2,1,2038,5,124,CNRM-CM5,366248.26,4.5,Feb
2038,2,20,2038,5,143,CanESM2,184821.32,4.5,Feb
2038,2,25,2038,5,148,CCSM4,64648.95,4.5,Feb
2038,3,12,2038,6,163,CMCC-CMS,167793.39,4.5,Mar
2038,3,13,2038,6,164,HadGEM2-CC,290561.29,4.5,Mar
2039,1,7,2039,4,99,CCSM4,307586.74,4.5,Jan
2039,1,9,2039,4,101,CNRM-CM5,293313.2,4.5,Jan
2039,2,17,2039,5,140,HadGEM2-ES,273389.95,4.5,Feb
2039,2,18,2039,5,141,HadGEM2-CC,240847.53,4.5,Feb
2039,3,16,2039,6,167,CMCC-CMS,288534.27,4.5,Mar
2039,3,18,2039,6,169,MIROC5,72553.95,4.5,Mar
2039,3,25,2039,6,176,GFDL-CM3,188175.47,4.5,Mar
2039,4,2,2039,7,184,CESM1-BGC,77096.87,4.5,Apr
2039,4,3,2039,7,185,CanESM2,43626.76,4.5,Apr
2039,4,4,2039,7,186,ACCESS1-0,319048.53,4.5,Apr
2041,1,13,2041,4,105,CMCC-CMS,266737.64,4.5,Jan
2041,1,19,2041,4,111,CESM1-BGC,324106.67,4.5,Jan
2041,1,24,2041,4,116,GFDL-CM3,188955.76,4.5,Jan
2041,2,3,2041,5,126,HadGEM2-CC,113826.52,4.5,Feb
2041,2,13,2041,5,136,CCSM4,310486.61,4.5,Feb
2041,2,21,2041,5,144,CanESM2,45316.83,4.5,Feb
2041,3,25,2041,6,176,ACCESS1-0,107366.91,4.5,Mar
2041,4,12,2041,7,194,MIROC5,65944.24,4.5,Apr
2041,4,16,2041,7,198,CNRM-CM5,51775.35,4.5,Apr
2041,4,27,2041,7,209,HadGEM2-ES,132987.62,4.5,Apr
2041,12,3,2042,3,64,ACCESS1-0,232710.34,4.5,Dec
2041,12,21,2042,3,82,HadGEM2-CC,155305.11,4.5,Dec
2042,2,4,2042,5,127,HadGEM2-ES,101036.33,4.5,Feb
2042,2,16,2042,5,139,CCSM4,272152.45,4.5,Feb
2042,3,15,2042,6,166,CNRM-CM5,83237.66,4.5,Mar
2042,3,24,2042,6,175,CanESM2,311760.5,4.5,Mar
2042,3,27,2042,6,178,MIROC5,68758.36,4.5,Mar
2042,4,2,2042,7,184,CESM1-BGC,110124.01,4.5,Apr
2042,4,4,2042,7,186,CMCC-CMS,61547.03,4.5,Apr
2042,5,2,2042,8,214,GFDL-CM3,81851.97,4.5,May
2042,11,24,2043,2,55,CESM1-BGC,72852.87,4.5,Nov
2043,1,3,2043,4,95,CMCC-CMS,344026.24,4.5,Jan
2043,1,3,2043,4,95,CNRM-CM5,275393.66,4.5,Jan
2043,1,8,2043,4,100,MIROC5,433559.97,4.5,Jan
2043,2,24,2043,5,147,CCSM4,280651.02,4.5,Feb
2043,2,26,2043,5,149,CanESM2,42656.73,4.5,Feb
2043,3,3,2043,6,154,HadGEM2-ES,260125.52,4.5,Mar
2043,3,11,2043,6,162,GFDL-CM3,279589.7,4.5,Mar
2043,4,26,2043,7,208,ACCESS1-0,248329.58,4.5,Apr
2043,5,6,2043,8,218,HadGEM2-CC,242498.01,4.5,May
2016,1,14,2016,4,106,CMCC-CMS,80985.91,8.5,Jan
2016,1,30,2016,4,122,CNRM-CM5,234939.72,8.5,Jan
2016,2,3,2016,5,126,HadGEM2-CC,314149.71,8.5,Feb
2016,2,22,2016,5,145,CCSM4,264206.81,8.5,Feb
2016,2,25,2016,5,148,HadGEM2-ES,175413.61,8.5,Feb
2016,2,27,2016,5,150,CESM1-BGC,143272.1,8.5,Feb
2016,3,12,2016,6,164,GFDL-CM3,117540.83,8.5,Mar
2016,3,25,2016,6,177,CanESM2,321405.31,8.5,Mar
2016,4,1,2016,7,184,MIROC5,39862.66,8.5,Apr
2016,4,4,2016,7,187,ACCESS1-0,326873.96,8.5,Apr
2019,12,16,2020,3,77,HadGEM2-CC,75257.86,8.5,Dec
2019,12,23,2020,3,84,MIROC5,43059.18,8.5,Dec
2020,2,2,2020,5,125,CESM1-BGC,233715.27,8.5,Feb
2020,2,13,2020,5,136,CCSM4,115497.22,8.5,Feb
2020,2,19,2020,5,142,CanESM2,62424.4,8.5,Feb
2020,2,27,2020,5,150,GFDL-CM3,141181.74,8.5,Feb
2020,3,10,2020,6,162,CNRM-CM5,244973.28,8.5,Mar
2020,4,4,2020,7,187,HadGEM2-ES,87453.62,8.5,Apr
2020,4,14,2020,7,197,ACCESS1-0,51201.44,8.5,Apr
2020,5,3,2020,8,216,CMCC-CMS,76882.93,8.5,May
2023,12,16,2024,3,77,ACCESS1-0,406585.71,8.5,Dec
2024,2,9,2024,5,132,GFDL-CM3,160256.09,8.5,Feb
2024,2,12,2024,5,135,CNRM-CM5,189555.75,8.5,Feb
2024,2,14,2024,5,137,MIROC5,215400.52,8.5,Feb
2024,3,8,2024,6,160,CanESM2,98886.59,8.5,Mar
2024,3,12,2024,6,164,HadGEM2-ES,341731.97,8.5,Mar
2024,3,14,2024,6,166,CMCC-CMS,91048.97,8.5,Mar
2024,3,16,2024,6,168,CESM1-BGC,116669.07,8.5,Mar
2024,3,24,2024,6,176,CCSM4,141847.26,8.5,Mar
2024,4,17,2024,7,200,HadGEM2-CC,47326.06,8.5,Apr
2027,11,25,2028,2,56,ACCESS1-0,303185.38,8.5,Nov
2028,1,3,2028,4,95,CanESM2,250609.48,8.5,Jan
2028,1,3,2028,4,95,HadGEM2-CC,50836.16,8.5,Jan
2028,1,16,2028,4,108,MIROC5,123731.32,8.5,Jan
2028,1,24,2028,4,116,CMCC-CMS,174707.36,8.5,Jan
2028,2,18,2028,5,141,CCSM4,333441.31,8.5,Feb
2028,2,28,2028,5,151,CESM1-BGC,289710.21,8.5,Feb
2028,3,4,2028,6,156,CNRM-CM5,190275.65,8.5,Mar
2028,3,9,2028,6,161,GFDL-CM3,24818.31,8.5,Mar
