Year,Month,Day,water_year,water_month,water_day,model,flow,rcp,month_name,period
1984,2,21,1984,5,144,CESM1-BGC,369048.25,4.5,Feb,1996
1988,1,21,1988,4,113,HadGEM2-ES,380137.72,4.5,Jan,1996
1991,12,28,1992,3,89,GFDL-CM3,337661.43,4.5,Dec,1996
1996,3,17,1996,6,169,CanESM2,290996.04,4.5,Mar,1996
2000,1,17,2000,4,109,CESM1-BGC,312796.46,4.5,Jan,1996
2004,2,2,2004,5,125,HadGEM2-CC,393394.79,4.5,Feb,1996
2007,12,17,2008,3,78,HadGEM2-CC,321218,4.5,Dec,1996
2035,12,31,2036,3,92,CNRM-CM5,508649.83,4.5,Dec,2050
2040,3,15,2040,6,167,CanESM2,238384.29,4.5,Mar,2050
2044,1,25,2044,4,117,MIROC5,554638.81,4.5,Jan,2050
2048,2,14,2048,5,137,CNRM-CM5,440454.58,4.5,Feb,2050
2052,1,7,2052,4,99,HadGEM2-CC,387293.92,4.5,Jan,2050
2055,12,3,2056,3,64,CNRM-CM5,417621.53,4.5,Dec,2050
2060,1,6,2060,4,98,CNRM-CM5,525487.75,4.5,Jan,2050
2064,1,18,2064,4,110,CanESM2,317439.18,4.5,Jan,2050
2071,12,14,2072,3,75,CMCC-CMS,336950.47,4.5,Dec,2085
2076,1,11,2076,4,103,HadGEM2-ES,365203.77,4.5,Jan,2085
2080,3,11,2080,6,163,CanESM2,415993.67,4.5,Mar,2085
2084,1,16,2084,4,108,CNRM-CM5,601122.29,4.5,Jan,2085
2088,3,11,2088,6,163,CCSM4,383502.33,4.5,Mar,2085
2092,1,18,2092,4,110,CESM1-BGC,706852.36,4.5,Jan,2085
2096,1,31,2096,4,123,CESM1-BGC,420721.7,4.5,Jan,2085
1981,2,7,1981,5,130,CESM1-BGC,503088.09,4.5,Feb,1996
1982,3,1,1982,6,152,CESM1-BGC,460222.39,4.5,Mar,1996
1983,2,8,1983,5,131,CESM1-BGC,267049.56,4.5,Feb,1996
1985,2,5,1985,5,128,CNRM-CM5,625769.38,4.5,Feb,1996
1986,2,4,1986,5,127,HadGEM2-CC,329967.47,4.5,Feb,1996
1987,3,18,1987,6,169,MIROC5,180229.09,4.5,Mar,1996
1989,2,9,1989,5,132,ACCESS1-0,327403.13,4.5,Feb,1996
1990,2,22,1990,5,145,CanESM2,453391.42,4.5,Feb,1996
1990,12,9,1991,3,70,HadGEM2-CC,310316.91,4.5,Dec,1996
1993,3,3,1993,6,154,CMCC-CMS,316944.34,4.5,Mar,1996
1994,3,16,1994,6,167,CanESM2,286242.51,4.5,Mar,1996
1995,2,16,1995,5,139,GFDL-CM3,280355,4.5,Feb,1996
1997,2,9,1997,5,132,CNRM-CM5,318097.82,4.5,Feb,1996
1998,2,16,1998,5,139,ACCESS1-0,348598.3,4.5,Feb,1996
1999,2,25,1999,5,148,GFDL-CM3,287853.72,4.5,Feb,1996
2001,2,3,2001,5,126,CCSM4,313043.76,4.5,Feb,1996
2002,2,3,2002,5,126,MIROC5,450170.45,4.5,Feb,1996
2002,12,5,2003,3,66,GFDL-CM3,474647.97,4.5,Dec,1996
2005,1,19,2005,4,111,CESM1-BGC,511201.09,4.5,Jan,1996
2006,3,2,2006,6,153,CMCC-CMS,261945,4.5,Mar,1996
2007,2,3,2007,5,126,CCSM4,532235.65,4.5,Feb,1996
2009,2,11,2009,5,134,CanESM2,426624.82,4.5,Feb,1996
2010,1,20,2010,4,112,CNRM-CM5,512492.71,4.5,Jan,1996
2035,1,28,2035,4,120,CNRM-CM5,398419.47,4.5,Jan,2050
2037,1,20,2037,4,112,CanESM2,693023.92,4.5,Jan,2050
2037,12,4,2038,3,65,ACCESS1-0,462208.58,4.5,Dec,2050
2039,4,4,2039,7,186,ACCESS1-0,319048.53,4.5,Apr,2050
2041,1,19,2041,4,111,CESM1-BGC,324106.67,4.5,Jan,2050
2042,3,24,2042,6,175,CanESM2,311760.5,4.5,Mar,2050
2043,1,8,2043,4,100,MIROC5,433559.97,4.5,Jan,2050
2045,1,5,2045,4,97,GFDL-CM3,341982.5,4.5,Jan,2050
2046,2,5,2046,5,128,HadGEM2-ES,516575.94,4.5,Feb,2050
2047,2,11,2047,5,134,CNRM-CM5,518753.77,4.5,Feb,2050
2049,2,6,2049,5,129,CNRM-CM5,395571.09,4.5,Feb,2050
2050,1,19,2050,4,111,HadGEM2-ES,555885.01,4.5,Jan,2050
2051,2,22,2051,5,145,CESM1-BGC,337690.35,4.5,Feb,2050
2052,12,13,2053,3,74,HadGEM2-CC,402035.29,4.5,Dec,2050
2054,3,6,2054,6,157,CCSM4,406855.93,4.5,Mar,2050
2055,3,12,2055,6,163,GFDL-CM3,360118.6,4.5,Mar,2050
