Year,Month,Day,water_year,water_month,water_day,model,flow,rcp
1983,10,26,1984,1,26,CNRM-CM5,78796.52,4.5
1984,1,13,1984,4,105,CCSM4,472380.44,4.5
1984,1,29,1984,4,121,MIROC5,52130.75,4.5
1984,2,10,1984,5,133,CMCC-CMS,634990.33,4.5
1984,2,21,1984,5,144,CESM1-BGC,798963.43,4.5
1984,2,21,1984,5,144,HadGEM2-ES,575868.66,4.5
1984,2,22,1984,5,145,GFDL-CM3,96503.11,4.5
1984,3,27,1984,6,179,CanESM2,245982,4.5
1984,5,10,1984,8,223,HadGEM2-CC,127750.86,4.5
1984,6,4,1984,9,248,ACCESS1-0,287373.96,4.5
1987,11,25,1988,2,56,CESM1-BGC,212411.72,4.5
1987,12,19,1988,3,80,CanESM2,451544.6,4.5
1988,1,14,1988,4,106,HadGEM2-CC,187126.01,4.5
1988,1,17,1988,4,109,CCSM4,687090.58,4.5
1988,1,19,1988,4,111,GFDL-CM3,249329.21,4.5
1988,1,21,1988,4,113,HadGEM2-ES,759176.08,4.5
1988,1,24,1988,4,116,CMCC-CMS,114080.54,4.5
1988,1,25,1988,4,117,ACCESS1-0,92053.71,4.5
1988,1,30,1988,4,122,CNRM-CM5,131841.63,4.5
1988,2,22,1988,5,145,MIROC5,129482.59,4.5
1992,1,11,1992,4,103,GFDL-CM3,639253.6,4.5
1992,1,14,1992,4,106,HadGEM2-ES,268319.16,4.5
1992,2,1,1992,5,124,CCSM4,734693.47,4.5
1992,2,5,1992,5,128,MIROC5,480137.47,4.5
1992,2,8,1992,5,131,HadGEM2-CC,433472.4,4.5
1992,2,26,1992,5,149,CMCC-CMS,550344.87,4.5
1992,3,3,1992,6,155,CESM1-BGC,369714.8,4.5
1992,4,7,1992,7,190,CNRM-CM5,250409.76,4.5
1992,4,14,1992,7,197,ACCESS1-0,211261.12,4.5
1992,5,25,1992,8,238,CanESM2,317488.38,4.5
1996,1,23,1996,4,115,HadGEM2-ES,215773.3,4.5
1996,1,27,1996,4,119,CESM1-BGC,121302.87,4.5
1996,2,4,1996,5,127,ACCESS1-0,155529.12,4.5
1996,2,12,1996,5,135,MIROC5,103684.57,4.5
1996,2,15,1996,5,138,CMCC-CMS,470505.67,4.5
1996,3,7,1996,6,159,HadGEM2-CC,662559.83,4.5
1996,3,10,1996,6,162,CCSM4,410513.63,4.5
1996,3,17,1996,6,169,CanESM2,724518.78,4.5
1996,4,12,1996,7,195,GFDL-CM3,226525.2,4.5
1996,4,26,1996,7,209,CNRM-CM5,532435.07,4.5
1999,12,13,2000,3,74,CCSM4,251683.13,4.5
2000,1,17,2000,4,109,CESM1-BGC,733771.36,4.5
2000,2,2,2000,5,125,CanESM2,546725.32,4.5
2000,2,3,2000,5,126,GFDL-CM3,112857.6,4.5
2000,2,6,2000,5,129,MIROC5,190467.48,4.5
2000,2,9,2000,5,132,HadGEM2-CC,246891.98,4.5
2000,2,11,2000,5,134,ACCESS1-0,365358.45,4.5
2000,3,5,2000,6,157,HadGEM2-ES,246801.63,4.5
2000,3,13,2000,6,165,CMCC-CMS,108175.13,4.5
2000,5,7,2000,8,220,CNRM-CM5,159511.38,4.5
2003,12,14,2004,3,75,HadGEM2-ES,72020.01,4.5
2004,1,26,2004,4,118,GFDL-CM3,180770.62,4.5
2004,2,1,2004,5,124,HadGEM2-CC,872143.52,4.5
2004,2,3,2004,5,126,CNRM-CM5,526335.15,4.5
2004,2,19,2004,5,142,MIROC5,522700.56,4.5
2004,2,26,2004,5,149,CCSM4,278227.74,4.5
2004,3,6,2004,6,158,CMCC-CMS,756704.62,4.5
2004,3,18,2004,6,170,CanESM2,199322.11,4.5
2004,4,10,2004,7,193,ACCESS1-0,103803.92,4.5
2004,5,3,2004,8,216,CESM1-BGC,190368.2,4.5
2007,12,17,2008,3,78,HadGEM2-CC,608453.08,4.5
2008,1,20,2008,4,112,GFDL-CM3,745565.43,4.5
2008,2,2,2008,5,125,CanESM2,274078.94,4.5
2008,2,18,2008,5,141,CMCC-CMS,84570.22,4.5
2008,3,9,2008,6,161,MIROC5,416917.02,4.5
2008,3,22,2008,6,174,CNRM-CM5,507576.38,4.5
2008,4,3,2008,7,186,CCSM4,438121.29,4.5
2008,4,3,2008,7,186,CESM1-BGC,182543.6,4.5
2008,5,1,2008,8,214,HadGEM2-ES,244614.51,4.5
2008,5,2,2008,8,215,ACCESS1-0,105202.98,4.5
2011,11,17,2012,2,48,ACCESS1-0,74433.63,4.5
2011,12,24,2012,3,85,CanESM2,161411.19,4.5
2011,12,27,2012,3,88,CCSM4,104055.73,4.5
2012,1,21,2012,4,113,CNRM-CM5,438045.4,4.5
2012,2,7,2012,5,130,GFDL-CM3,730583.03,4.5
2012,2,9,2012,5,132,CESM1-BGC,694534.28,4.5
2012,2,11,2012,5,134,MIROC5,254536.44,4.5
2012,2,27,2012,5,150,HadGEM2-ES,362672.57,4.5
2012,3,23,2012,6,175,CMCC-CMS,79913.42,4.5
2012,4,1,2012,7,184,HadGEM2-CC,114857.84,4.5
2015,12,16,2016,3,77,MIROC5,708586.26,4.5
2016,1,11,2016,4,103,CanESM2,938597.99,4.5
2016,1,23,2016,4,115,CNRM-CM5,389962.43,4.5
2016,2,5,2016,5,128,CESM1-BGC,439861.92,4.5
2016,2,9,2016,5,132,HadGEM2-CC,326082.69,4.5
2016,2,20,2016,5,143,GFDL-CM3,518840.8,4.5
2016,3,2,2016,6,154,HadGEM2-ES,323626.04,4.5
2016,4,3,2016,7,186,CCSM4,87922.34,4.5
2016,4,16,2016,7,199,ACCESS1-0,200697.13,4.5
2016,6,15,2016,9,259,CMCC-CMS,72548.91,4.5
2020,1,9,2020,4,101,CNRM-CM5,527383.02,4.5
2020,2,4,2020,5,127,MIROC5,712642.13,4.5
2020,3,1,2020,6,153,GFDL-CM3,533924.33,4.5
2020,3,3,2020,6,155,CCSM4,210686.7,4.5
2020,3,3,2020,6,155,CESM1-BGC,768917.98,4.5
2020,3,3,2020,6,155,CMCC-CMS,703277.12,4.5
2020,3,5,2020,6,157,CanESM2,309160.84,4.5
2020,3,30,2020,6,182,HadGEM2-ES,438391.68,4.5
2020,4,7,2020,7,190,HadGEM2-CC,140431.14,4.5
2020,6,6,2020,9,250,ACCESS1-0,62911.53,4.5
2023,12,17,2024,3,78,CMCC-CMS,610157.09,4.5
2023,12,28,2024,3,89,ACCESS1-0,471802.19,4.5
2024,1,11,2024,4,103,HadGEM2-ES,135693.94,4.5
2024,2,13,2024,5,136,CNRM-CM5,848259.2,4.5
2024,2,14,2024,5,137,CanESM2,377805.51,4.5
2024,2,28,2024,5,151,HadGEM2-CC,137832.53,4.5
2024,3,2,2024,6,154,CCSM4,203576.05,4.5
2024,3,24,2024,6,176,MIROC5,210368.58,4.5
2024,4,2,2024,7,185,CESM1-BGC,171560.73,4.5
2024,4,4,2024,7,187,GFDL-CM3,111564.34,4.5
2028,1,24,2028,4,116,CanESM2,462872.29,4.5
