water_year,water_month,rep,flow,model,rcp,water_day,scenario
1981,4,3,66935.1,ACCESS1-0,4.5,105,RCP 4.5 and 8.5 1996
1981,4,7,72245.66,ACCESS1-0,4.5,96,RCP 4.5 and 8.5 1996
1982,5,3,118989.47,ACCESS1-0,4.5,137,RCP 4.5 and 8.5 1996
1982,6,2,174721.61,ACCESS1-0,4.5,182,RCP 4.5 and 8.5 1996
1982,6,5,143244.55,ACCESS1-0,4.5,173,RCP 4.5 and 8.5 1996
1983,4,1,90425.74,ACCESS1-0,4.5,94,RCP 4.5 and 8.5 1996
1983,4,4,100071,ACCESS1-0,4.5,105,RCP 4.5 and 8.5 1996
1983,8,5,95000.41,ACCESS1-0,4.5,217,RCP 4.5 and 8.5 1996
1984,9,10,154507.69,ACCESS1-0,4.5,248,RCP 4.5 and 8.5 1996
1985,7,4,103788,ACCESS1-0,4.5,197,RCP 4.5 and 8.5 1996
1985,7,6,103548.38,ACCESS1-0,4.5,188,RCP 4.5 and 8.5 1996
1986,7,2,30490.32,ACCESS1-0,4.5,186,RCP 4.5 and 8.5 1996
1986,7,5,29609.47,ACCESS1-0,4.5,209,RCP 4.5 and 8.5 1996
1986,8,3,33104.46,ACCESS1-0,4.5,213,RCP 4.5 and 8.5 1996
1987,5,2,29606.78,ACCESS1-0,4.5,145,RCP 4.5 and 8.5 1996
1987,5,3,32697.83,ACCESS1-0,4.5,138,RCP 4.5 and 8.5 1996
1988,8,4,48280.23,ACCESS1-0,4.5,216,RCP 4.5 and 8.5 1996
1988,10,2,44975.05,ACCESS1-0,4.5,286,RCP 4.5 and 8.5 1996
1988,10,4,45419.41,ACCESS1-0,4.5,294,RCP 4.5 and 8.5 1996
1989,5,10,327403.13,ACCESS1-0,4.5,132,RCP 4.5 and 8.5 1996
1990,6,1,36665.27,ACCESS1-0,4.5,158,RCP 4.5 and 8.5 1996
1990,6,8,38528.51,ACCESS1-0,4.5,163,RCP 4.5 and 8.5 1996
1991,6,4,63947.44,ACCESS1-0,4.5,159,RCP 4.5 and 8.5 1996
1991,8,6,58848.36,ACCESS1-0,4.5,221,RCP 4.5 and 8.5 1996
1992,7,3,112433.87,ACCESS1-0,4.5,206,RCP 4.5 and 8.5 1996
1992,7,7,121721.11,ACCESS1-0,4.5,197,RCP 4.5 and 8.5 1996
1993,6,3,75380.4,ACCESS1-0,4.5,180,RCP 4.5 and 8.5 1996
1993,9,7,80533.91,ACCESS1-0,4.5,246,RCP 4.5 and 8.5 1996
1994,4,2,97704.37,ACCESS1-0,4.5,93,RCP 4.5 and 8.5 1996
1994,6,8,89770.57,ACCESS1-0,4.5,182,RCP 4.5 and 8.5 1996
1994,7,8,120424.58,ACCESS1-0,4.5,184,RCP 4.5 and 8.5 1996
1995,7,8,253270,ACCESS1-0,4.5,200,RCP 4.5 and 8.5 1996
1995,8,2,142150,ACCESS1-0,4.5,213,RCP 4.5 and 8.5 1996
1996,5,10,75001.61,ACCESS1-0,4.5,127,RCP 4.5 and 8.5 1996
1997,7,1,59090.6,ACCESS1-0,4.5,189,RCP 4.5 and 8.5 1996
1997,7,4,64106.48,ACCESS1-0,4.5,186,RCP 4.5 and 8.5 1996
1997,8,5,69141.5,ACCESS1-0,4.5,215,RCP 4.5 and 8.5 1996
1998,5,10,348598.3,ACCESS1-0,4.5,139,RCP 4.5 and 8.5 1996
1999,4,10,137046.38,ACCESS1-0,4.5,99,RCP 4.5 and 8.5 1996
2000,4,3,138749.07,ACCESS1-0,4.5,95,RCP 4.5 and 8.5 1996
2000,5,4,156202.43,ACCESS1-0,4.5,134,RCP 4.5 and 8.5 1996
2000,6,3,128821.76,ACCESS1-0,4.5,156,RCP 4.5 and 8.5 1996
2001,6,7,158109.48,ACCESS1-0,4.5,177,RCP 4.5 and 8.5 1996
2001,7,1,127025.19,ACCESS1-0,4.5,187,RCP 4.5 and 8.5 1996
2001,7,2,128081.31,ACCESS1-0,4.5,185,RCP 4.5 and 8.5 1996
2002,4,1,59933.01,ACCESS1-0,4.5,116,RCP 4.5 and 8.5 1996
2002,7,9,68979.69,ACCESS1-0,4.5,187,RCP 4.5 and 8.5 1996
2003,3,1,116572.1,ACCESS1-0,4.5,64,RCP 4.5 and 8.5 1996
2003,4,9,148373.46,ACCESS1-0,4.5,107,RCP 4.5 and 8.5 1996
2004,6,7,44736.38,ACCESS1-0,4.5,176,RCP 4.5 and 8.5 1996
2004,7,3,43548.14,ACCESS1-0,4.5,185,RCP 4.5 and 8.5 1996
2005,3,2,88528.66,ACCESS1-0,4.5,76,RCP 4.5 and 8.5 1996
2005,6,2,78097.63,ACCESS1-0,4.5,167,RCP 4.5 and 8.5 1996
2005,6,6,82810.6,ACCESS1-0,4.5,156,RCP 4.5 and 8.5 1996
2006,6,1,136178.75,ACCESS1-0,4.5,156,RCP 4.5 and 8.5 1996
2006,6,5,155332.35,ACCESS1-0,4.5,160,RCP 4.5 and 8.5 1996
2006,8,3,148773.01,ACCESS1-0,4.5,214,RCP 4.5 and 8.5 1996
2007,6,7,60354.67,ACCESS1-0,4.5,156,RCP 4.5 and 8.5 1996
2007,8,3,51015.14,ACCESS1-0,4.5,215,RCP 4.5 and 8.5 1996
2008,8,1,42777.94,ACCESS1-0,4.5,227,RCP 4.5 and 8.5 1996
2008,8,9,48231.11,ACCESS1-0,4.5,215,RCP 4.5 and 8.5 1996
2009,5,2,52195.84,ACCESS1-0,4.5,135,RCP 4.5 and 8.5 1996
2009,8,8,49003.87,ACCESS1-0,4.5,221,RCP 4.5 and 8.5 1996
2010,4,1,41653.3,ACCESS1-0,4.5,119,RCP 4.5 and 8.5 1996
2010,4,9,45118.39,ACCESS1-0,4.5,108,RCP 4.5 and 8.5 1996
1981,4,3,69235.86,ACCESS1-0,8.5,105,RCP 4.5 and 8.5 1996
1981,4,7,75895.45,ACCESS1-0,8.5,96,RCP 4.5 and 8.5 1996
1982,6,2,180065.34,ACCESS1-0,8.5,182,RCP 4.5 and 8.5 1996
1982,6,4,134513.48,ACCESS1-0,8.5,173,RCP 4.5 and 8.5 1996
1982,7,4,120150.66,ACCESS1-0,8.5,187,RCP 4.5 and 8.5 1996
1983,4,1,90495.55,ACCESS1-0,8.5,94,RCP 4.5 and 8.5 1996
1983,4,4,103712.98,ACCESS1-0,8.5,105,RCP 4.5 and 8.5 1996
1983,8,5,95025.9,ACCESS1-0,8.5,217,RCP 4.5 and 8.5 1996
1984,9,10,158213.56,ACCESS1-0,8.5,249,RCP 4.5 and 8.5 1996
1985,7,5,112694.76,ACCESS1-0,8.5,197,RCP 4.5 and 8.5 1996
1986,7,2,31079.55,ACCESS1-0,8.5,186,RCP 4.5 and 8.5 1996
1986,7,5,30971.17,ACCESS1-0,8.5,208,RCP 4.5 and 8.5 1996
1986,8,3,33921.75,ACCESS1-0,8.5,213,RCP 4.5 and 8.5 1996
1987,5,1,27752.15,ACCESS1-0,8.5,145,RCP 4.5 and 8.5 1996
1987,5,2,27428.9,ACCESS1-0,8.5,127,RCP 4.5 and 8.5 1996
1987,5,3,31162.95,ACCESS1-0,8.5,130,RCP 4.5 and 8.5 1996
1987,5,4,30757.82,ACCESS1-0,8.5,138,RCP 4.5 and 8.5 1996
1988,4,2,43885.63,ACCESS1-0,8.5,116,RCP 4.5 and 8.5 1996
1988,8,3,46417.77,ACCESS1-0,8.5,216,RCP 4.5 and 8.5 1996
1988,10,1,42951.32,ACCESS1-0,8.5,286,RCP 4.5 and 8.5 1996
1988,10,4,43331.9,ACCESS1-0,8.5,294,RCP 4.5 and 8.5 1996
1989,5,10,312209.31,ACCESS1-0,8.5,132,RCP 4.5 and 8.5 1996
1990,6,1,33994.31,ACCESS1-0,8.5,158,RCP 4.5 and 8.5 1996
1990,6,2,32892.25,ACCESS1-0,8.5,174,RCP 4.5 and 8.5 1996
1990,6,7,36100.07,ACCESS1-0,8.5,163,RCP 4.5 and 8.5 1996
1991,4,2,49888.51,ACCESS1-0,8.5,96,RCP 4.5 and 8.5 1996
1991,6,6,61320.96,ACCESS1-0,8.5,159,RCP 4.5 and 8.5 1996
1991,8,2,49818.35,ACCESS1-0,8.5,221,RCP 4.5 and 8.5 1996
1992,7,3,113224.6,ACCESS1-0,8.5,206,RCP 4.5 and 8.5 1996
1992,7,7,124166.14,ACCESS1-0,8.5,197,RCP 4.5 and 8.5 1996
1993,6,3,76664.71,ACCESS1-0,8.5,180,RCP 4.5 and 8.5 1996
1993,9,7,83980.88,ACCESS1-0,8.5,246,RCP 4.5 and 8.5 1996
