Flow (cfs),Date,Excel Datenum,Year,Month,Day
101017,3/11/1955 0:00,56684,2055,3,11
210537,2/27/1956 0:00,57037,2056,2,27
216609,1/22/1957 0:00,57367,2057,1,22
96525,4/24/1958 0:00,57824,2058,4,24
135321,1/8/1959 0:00,58083,2059,1,8
368853,1/19/1960 0:00,58459,2060,1,19
85416,3/14/1961 0:00,58879,2061,3,14
141242,2/20/1962 0:00,59222,2062,2,20
295499,2/14/1963 0:00,59581,2063,2,14
209985,3/4/1964 0:00,59965,2064,3,4
59599,2/12/1965 0:00,60310,2065,2,12
348392,1/17/1966 0:00,60649,2066,1,17
206266,1/31/1967 0:00,61028,2067,1,31
265050,2/22/1968 0:00,61415,2068,2,22
26841,8/3/1969 0:00,61943,2069,8,3
96900,3/5/1970 0:00,62157,2070,3,5
40599,4/12/1971 0:00,62560,2071,4,12
226535,2/17/1972 0:00,62871,2072,2,17
278314,1/25/1973 0:00,63214,2073,1,25
155429,2/6/1974 0:00,63591,2074,2,6
412255,1/22/1975 0:00,63941,2075,1,22
217582,2/2/1976 0:00,64317,2076,2,2
316444,4/8/1977 0:00,64748,2077,4,8
457518,1/30/1978 0:00,65045,2078,1,30
157674,4/6/1979 0:00,65476,2079,4,6
178235,3/11/1980 0:00,65816,2080,3,11
78021,2/2/1981 0:00,66144,2081,2,2
81040,3/13/1982 0:00,66548,2082,3,13
341836,3/7/1983 0:00,66907,2083,3,7
112010,2/24/1984 0:00,67261,2084,2,24
107042,2/4/1955 0:00,56649,2055,2,4
34638,12/24/1955 0:00,56972,2055,12,24
143910,3/3/1957 0:00,57407,2057,3,3
182255,2/15/1958 0:00,57756,2058,2,15
231878,2/7/1959 0:00,58113,2059,2,7
398288,2/29/1960 0:00,58500,2060,2,29
194728,2/1/1961 0:00,58838,2061,2,1
208637,4/4/1962 0:00,59265,2062,4,4
346587,1/21/1963 0:00,59557,2063,1,21
53706,3/27/1964 0:00,59988,2064,3,27
50992,2/1/1965 0:00,60299,2065,2,1
121390,2/28/1966 0:00,60691,2066,2,28
258209,1/7/1967 0:00,61004,2067,1,7
231044,2/5/1968 0:00,61398,2068,2,5
71065,1/15/1969 0:00,61743,2069,1,15
248017,2/21/1970 0:00,62145,2070,2,21
269600,1/15/1971 0:00,62473,2071,1,15
35809,3/3/1972 0:00,62886,2072,3,3
334216,1/31/1973 0:00,63220,2073,1,31
93732,2/15/1974 0:00,63600,2074,2,15
238419,3/10/1975 0:00,63988,2075,3,10
80765,3/10/1976 0:00,64354,2076,3,10
438043,1/13/1977 0:00,64663,2077,1,13
30113,12/3/1977 0:00,64987,2077,12,3
101723,12/29/1978 0:00,65378,2078,12,29
237502,1/16/1980 0:00,65761,2080,1,16
275368,2/14/1981 0:00,66156,2081,2,14
164669,2/2/1982 0:00,66509,2082,2,2
326224,3/5/1983 0:00,66905,2083,3,5
141320,3/14/1984 0:00,67280,2084,3,14
270934,3/20/1955 0:00,56693,2055,3,20
277370,1/17/1956 0:00,56996,2056,1,17
281868,1/13/1957 0:00,57358,2057,1,13
121093,1/13/1958 0:00,57723,2058,1,13
251415,2/2/1959 0:00,58108,2059,2,2
71894,4/3/1960 0:00,58534,2060,4,3
518140,2/8/1961 0:00,58845,2061,2,8
249801,1/24/1962 0:00,59195,2062,1,24
113313,3/22/1963 0:00,59617,2063,3,22
217577,1/30/1964 0:00,59931,2064,1,30
205413,1/28/1965 0:00,60295,2065,1,28
67827,2/21/1966 0:00,60684,2066,2,21
291998,2/3/1967 0:00,61031,2067,2,3
290947,3/13/1968 0:00,61435,2068,3,13
37324,3/2/1969 0:00,61789,2069,3,2
256123,3/20/1970 0:00,62172,2070,3,20
101862,3/11/1971 0:00,62528,2071,3,11
80221,2/19/1972 0:00,62873,2072,2,19
42284,4/12/1973 0:00,63291,2073,4,12
270088,3/3/1974 0:00,63616,2074,3,3
252289,2/18/1975 0:00,63968,2075,2,18
58524,1/24/1976 0:00,64308,2076,1,24
312302,1/29/1977 0:00,64679,2077,1,29
364975,2/21/1978 0:00,65067,2078,2,21
57392,9/27/1979 0:00,65650,2079,9,27
203653,3/25/1980 0:00,65830,2080,3,25
208325,3/3/1981 0:00,66173,2081,3,3
364730,1/14/1982 0:00,66490,2082,1,14
561318,1/17/1983 0:00,66858,2083,1,17
306758,2/2/1984 0:00,67239,2084,2,2
83725,1/14/1955 0:00,56628,2055,1,14
216772,1/19/1956 0:00,56998,2056,1,19
28422,1/19/1957 0:00,57364,2057,1,19
59264,12/19/1957 0:00,57698,2057,12,19
25748,4/26/1959 0:00,58191,2059,4,26
155236,3/24/1960 0:00,58524,2060,3,24
136100,1/4/1961 0:00,58810,2061,1,4
84025,4/23/1962 0:00,59284,2062,4,23
177800,1/29/1963 0:00,59565,2063,1,29
196689,3/16/1964 0:00,59977,2064,3,16
213393,3/9/1965 0:00,60335,2065,3,9
97779,3/12/1966 0:00,60703,2066,3,12
142211,4/15/1967 0:00,61102,2067,4,15
115669,2/27/1968 0:00,61420,2068,2,27
297799,1/15/1969 0:00,61743,2069,1,15
216915,3/31/1970 0:00,62183,2070,3,31
48433,1/8/1971 0:00,62466,2071,1,8
336950,12/14/1971 0:00,62806,2071,12,14
630061,3/15/1973 0:00,63263,2073,3,15
280449,1/23/1974 0:00,63577,2074,1,23
242689,2/20/1975 0:00,63970,2075,2,20
146198,3/21/1976 0:00,64365,2076,3,21
161196,12/2/1976 0:00,64621,2076,12,2
95836,4/3/1978 0:00,65108,2078,4,3
223792,1/9/1979 0:00,65389,2079,1,9
52369,12/14/1979 0:00,65728,2079,12,14
54652,4/27/1981 0:00,66228,2081,4,27
287096,3/2/1982 0:00,66537,2082,3,2
129552,3/29/1983 0:00,66929,2083,3,29
232601,2/3/1984 0:00,67240,2084,2,3
181645,3/2/1955 0:00,56675,2055,3,2
417622,12/3/1955 0:00,56951,2055,12,3
118053,1/18/1957 0:00,57363,2057,1,18
243716,3/6/1958 0:00,57775,2058,3,6
592057,1/8/1959 0:00,58083,2059,1,8
525488,1/6/1960 0:00,58446,2060,1,6
252079,12/7/1960 0:00,58782,2060,12,7
140330,2/14/1962 0:00,59216,2062,2,14
181787,2/16/1963 0:00,59583,2063,2,16
201888,2/25/1964 0:00,59957,2064,2,25
320547,2/28/1965 0:00,60326,2065,2,28
52064,1/5/1966 0:00,60637,2066,1,5
189393,3/6/1967 0:00,61062,2067,3,6
227976,3/2/1968 0:00,61424,2068,3,2
395725,1/29/1969 0:00,61757,2069,1,29
357322,2/4/1970 0:00,62128,2070,2,4
172480,12/31/1970 0:00,62458,2070,12,31
56932,1/25/1972 0:00,62848,2072,1,25
758275,1/3/1973 0:00,63192,2073,1,3
328071,2/7/1974 0:00,63592,2074,2,7
185961,2/7/1975 0:00,63957,2075,2,7
228163,12/27/1975 0:00,64280,2075,12,27
597085,2/18/1977 0:00,64699,2077,2,18
617690,2/6/1978 0:00,65052,2078,2,6
365938,1/3/1979 0:00,65383,2079,1,3
348895,2/15/1980 0:00,65791,2080,2,15
65709,3/12/1981 0:00,66182,2081,3,12
591964,2/23/1982 0:00,66530,2082,2,23
315595,2/11/1983 0:00,66883,2083,2,11
601122,1/16/1984 0:00,67222,2084,1,16
355835,2/4/1955 0:00,56649,2055,2,4
33682,6/15/1956 0:00,57146,2056,6,15
117118,3/19/1957 0:00,57423,2057,3,19
196647,3/22/1958 0:00,57791,2058,3,22
600632,1/26/1959 0:00,58101,2059,1,26
466226,1/28/1960 0:00,58468,2060,1,28
288383,12/19/1960 0:00,58794,2060,12,19
236125,2/5/1962 0:00,59207,2062,2,5
347631,1/14/1963 0:00,59550,2063,1,14
317439,1/18/1964 0:00,59919,2064,1,18
159523,1/20/1965 0:00,60287,2065,1,20
354405,3/12/1966 0:00,60703,2066,3,12
531519,3/10/1967 0:00,61066,2067,3,10
352289,2/13/1968 0:00,61406,2068,2,13
432690,1/22/1969 0:00,61750,2069,1,22
153723,4/16/1970 0:00,62199,2070,4,16
372874,3/8/1971 0:00,62525,2071,3,8
49196,5/8/1972 0:00,62952,2072,5,8
101543,3/16/1973 0:00,63264,2073,3,16
248720,3/2/1974 0:00,63615,2074,3,2
267315,2/12/1975 0:00,63962,2075,2,12
261572,2/20/1976 0:00,64335,2076,2,20
605076,1/22/1977 0:00,64672,2077,1,22
92996,3/7/1978 0:00,65081,2078,3,7
313909,3/9/1979 0:00,65448,2079,3,9
415994,3/11/1980 0:00,65816,2080,3,11
588855,1/17/1981 0:00,66128,2081,1,17
133766,1/7/1982 0:00,66483,2082,1,7
139911,3/1/1983 0:00,66901,2083,3,1
390831,2/6/1984 0:00,67243,2084,2,6
360119,3/12/1955 0:00,56685,2055,3,12
214078,3/13/1956 0:00,57052,2056,3,13
217208,3/13/1957 0:00,57417,2057,3,13
36813,1/17/1958 0:00,57727,2058,1,17
291748,4/3/1959 0:00,58168,2059,4,3
80233,4/24/1960 0:00,58555,2060,4,24
75152,11/30/1960 0:00,58775,2060,11,30
351166,4/20/1962 0:00,59281,2062,4,20
544146,2/17/1963 0:00,59584,2063,2,17
245357,3/10/1964 0:00,59971,2064,3,10
64996,3/3/1965 0:00,60329,2065,3,3
284655,4/4/1966 0:00,60726,2066,4,4
204655,3/24/1967 0:00,61080,2067,3,24
207875,1/10/1968 0:00,61372,2068,1,10
144969,2/12/1969 0:00,61771,2069,2,12
75687,2/4/1970 0:00,62128,2070,2,4
75517,1/24/1971 0:00,62482,2071,1,24
35258,12/28/1971 0:00,62820,2071,12,28
234505,1/2/1973 0:00,63191,2073,1,2
255069,12/31/1973 0:00,63554,2073,12,31
225696,1/4/1975 0:00,63923,2075,1,4
131198,3/23/1976 0:00,64367,2076,3,23
269631,3/7/1977 0:00,64716,2077,3,7
114088,4/3/1978 0:00,65108,2078,4,3
147475,2/1/1979 0:00,65412,2079,2,1
109281,4/2/1980 0:00,65838,2080,4,2
68077,1/11/1981 0:00,66122,2081,1,11
114099,2/1/1982 0:00,66508,2082,2,1
270604,2/5/1983 0:00,66877,2083,2,5
150061,1/27/1984 0:00,67233,2084,1,27
87948,2/25/1955 0:00,56670,2055,2,25
315821,1/21/1956 0:00,57000,2056,1,21
380008,1/3/1957 0:00,57348,2057,1,3
262314,1/22/1958 0:00,57732,2058,1,22
176257,3/3/1959 0:00,58137,2059,3,3
93775,1/30/1960 0:00,58470,2060,1,30
261959,3/14/1961 0:00,58879,2061,3,14
373020,12/13/1961 0:00,59153,2061,12,13
37698,1/31/1963 0:00,59567,2063,1,31
75559,3/3/1964 0:00,59964,2064,3,3
383755,2/3/1965 0:00,60301,2065,2,3
468236,1/6/1966 0:00,60638,2066,1,6
363092,3/2/1967 0:00,61058,2067,3,2
196631,1/25/1968 0:00,61387,2068,1,25
232672,4/3/1969 0:00,61821,2069,4,3
362655,12/5/1969 0:00,62067,2069,12,5
276673,1/24/1971 0:00,62482,2071,1,24
33340,2/4/1972 0:00,62858,2072,2,4
270508,2/24/1973 0:00,63244,2073,2,24
179721,3/4/1974 0:00,63617,2074,3,4
60144,3/4/1975 0:00,63982,2075,3,4
256278,4/14/1976 0:00,64389,2076,4,14
391729,3/2/1977 0:00,64711,2077,3,2
324384,1/24/1978 0:00,65039,2078,1,24
441409,1/29/1979 0:00,65409,2079,1,29
179446,3/2/1980 0:00,65807,2080,3,2
60297,2/10/1981 0:00,66152,2081,2,10
110452,1/4/1982 0:00,66480,2082,1,4
285307,3/17/1983 0:00,66917,2083,3,17
146179,1/22/1984 0:00,67228,2084,1,22
67392,2/15/1955 0:00,56660,2055,2,15
59596,2/29/1956 0:00,57039,2056,2,29
184544,3/9/1957 0:00,57413,2057,3,9
47880,4/3/1958 0:00,57803,2058,4,3
49551,4/12/1959 0:00,58177,2059,4,12
155682,3/5/1960 0:00,58505,2060,3,5
228346,2/16/1961 0:00,58853,2061,2,16
37434,4/28/1962 0:00,59289,2062,4,28
239473,2/13/1963 0:00,59580,2063,2,13
55928,3/22/1964 0:00,59983,2064,3,22
299345,1/14/1965 0:00,60281,2065,1,14
109144,2/17/1966 0:00,60680,2066,2,17
65809,3/7/1967 0:00,61063,2067,3,7
175148,1/29/1968 0:00,61391,2068,1,29
116230,2/26/1969 0:00,61785,2069,2,26
183230,1/30/1970 0:00,62123,2070,1,30
34307,1/26/1971 0:00,62484,2071,1,26
46323,5/15/1972 0:00,62959,2072,5,15
59673,4/15/1973 0:00,63294,2073,4,15
288163,3/9/1974 0:00,63622,2074,3,9
58168,3/2/1975 0:00,63980,2075,3,2
365204,1/11/1976 0:00,64295,2076,1,11
275103,2/7/1977 0:00,64688,2077,2,7
63840,4/21/1978 0:00,65126,2078,4,21
289396,2/4/1979 0:00,65415,2079,2,4
248703,3/8/1980 0:00,65813,2080,3,8
75614,2/3/1981 0:00,66145,2081,2,3
183219,3/8/1982 0:00,66543,2082,3,8
