Flow (cfs),Date,Excel Datenum,Year,Month,Day
123084,4/2/80 12:00 AM,29313,1980,4,2
72246,1/4/81 12:00 AM,29590,1981,1,4
174722,3/31/82 12:00 AM,30041,1982,3,31
100071,1/13/83 12:00 AM,30329,1983,1,13
154508,6/4/84 12:00 AM,30837,1984,6,4
103788,4/15/85 12:00 AM,31152,1985,4,15
33104,5/1/86 12:00 AM,31533,1986,5,1
32698,2/15/87 12:00 AM,31823,1987,2,15
48280,5/3/88 12:00 AM,32266,1988,5,3
327403,2/9/89 12:00 AM,32548,1989,2,9
38529,3/12/90 12:00 AM,32944,1990,3,12
63947,3/8/91 12:00 AM,33305,1991,3,8
121721,4/14/92 12:00 AM,33708,1992,4,14
80534,6/3/93 12:00 AM,34123,1993,6,3
120425,4/2/94 12:00 AM,34426,1994,4,2
253270,4/18/95 12:00 AM,34807,1995,4,18
75002,2/4/96 12:00 AM,35099,1996,2,4
69142,5/3/97 12:00 AM,35553,1997,5,3
348598,2/16/98 12:00 AM,35842,1998,2,16
137046,1/7/99 12:00 AM,36167,1999,1,7
156202,2/11/00 12:00 AM,36567,2000,2,11
158109,3/26/01 12:00 AM,36976,2001,3,26
68980,4/5/02 12:00 AM,37351,2002,4,5
148373,1/15/03 12:00 AM,37636,2003,1,15
44736,3/24/04 12:00 AM,38070,2004,3,24
88529,12/15/04 12:00 AM,38336,2004,12,15
155332,3/9/06 12:00 AM,38785,2006,3,9
60355,3/5/07 12:00 AM,39146,2007,3,5
48231,5/2/08 12:00 AM,39570,2008,5,2
52196,2/12/09 12:00 AM,39856,2009,2,12
277876,3/7/80 12:00 AM,29287,1980,3,7
80580,2/25/81 12:00 AM,29642,1981,2,25
136385,12/17/81 12:00 AM,29937,1981,12,17
159136,1/7/83 12:00 AM,30323,1983,1,7
220630,1/14/84 12:00 AM,30695,1984,1,14
48998,4/14/85 12:00 AM,31151,1985,4,14
271686,3/2/86 12:00 AM,31473,1986,3,2
81791,1/10/87 12:00 AM,31787,1987,1,10
314126,1/17/88 12:00 AM,32159,1988,1,17
184028,3/10/89 12:00 AM,32577,1989,3,10
101066,3/7/90 12:00 AM,32939,1990,3,7
186327,3/29/91 12:00 AM,33326,1991,3,29
336132,2/1/92 12:00 AM,33635,1992,2,1
163232,3/12/93 12:00 AM,34040,1993,3,12
85880,4/17/94 12:00 AM,34441,1994,4,17
178110,12/10/94 12:00 AM,34678,1994,12,10
191273,3/10/96 12:00 AM,35134,1996,3,10
118201,5/2/97 12:00 AM,35552,1997,5,2
132663,3/9/98 12:00 AM,35863,1998,3,9
61228,4/4/99 12:00 AM,36254,1999,4,4
113306,12/13/99 12:00 AM,36507,1999,12,13
313044,2/3/01 12:00 AM,36925,2001,2,3
289867,1/22/02 12:00 AM,37278,2002,1,22
21700,3/15/03 12:00 AM,37695,2003,3,15
135961,1/16/04 12:00 AM,38002,2004,1,16
113679,4/30/05 12:00 AM,38472,2005,4,30
50916,4/7/06 12:00 AM,38814,2006,4,7
532236,2/3/07 12:00 AM,39116,2007,2,3
171704,4/3/08 12:00 AM,39541,2008,4,3
227721,12/15/08 12:00 AM,39797,2008,12,15
58482,4/4/80 12:00 AM,29315,1980,4,4
503088,2/7/81 12:00 AM,29624,1981,2,7
460222,3/1/82 12:00 AM,30011,1982,3,1
267050,2/8/83 12:00 AM,30355,1983,2,8
369048,2/21/84 12:00 AM,30733,1984,2,21
72830,5/3/85 12:00 AM,31170,1985,5,3
36698,12/3/85 12:00 AM,31384,1985,12,3
81634,2/20/87 12:00 AM,31828,1987,2,20
63775,11/27/87 12:00 AM,32108,1987,11,27
57488,4/8/89 12:00 AM,32606,1989,4,8
58525,4/4/90 12:00 AM,32967,1990,4,4
113164,4/25/91 12:00 AM,33353,1991,4,25
152249,3/3/92 12:00 AM,33666,1992,3,3
250443,2/17/93 12:00 AM,34017,1993,2,17
124509,5/2/94 12:00 AM,34456,1994,5,2
225001,12/12/94 12:00 AM,34680,1994,12,12
54275,1/26/96 12:00 AM,35090,1996,1,26
228979,1/3/97 12:00 AM,35433,1997,1,3
91731,5/3/98 12:00 AM,35918,1998,5,3
166046,4/28/99 12:00 AM,36278,1999,4,28
312796,1/17/00 12:00 AM,36542,2000,1,17
31608,1/3/01 12:00 AM,36894,2001,1,3
252006,1/3/02 12:00 AM,37259,2002,1,3
134175,2/10/03 12:00 AM,37662,2003,2,10
89161,5/3/04 12:00 AM,38110,2004,5,3
511201,1/19/05 12:00 AM,38371,2005,1,19
210588,3/3/06 12:00 AM,38779,2006,3,3
52984,1/11/07 12:00 AM,39093,2007,1,11
84672,4/3/08 12:00 AM,39541,2008,4,3
274029,2/3/09 12:00 AM,39847,2009,2,3
49810,3/24/80 12:00 AM,29304,1980,3,24
322881,3/2/81 12:00 AM,29647,1981,3,2
24882,6/25/82 12:00 AM,30127,1982,6,25
166020,1/5/83 12:00 AM,30321,1983,1,5
301047,2/10/84 12:00 AM,30722,1984,2,10
59991,1/6/85 12:00 AM,31053,1985,1,6
78044,3/2/86 12:00 AM,31473,1986,3,2
58080,1/27/87 12:00 AM,31804,1987,1,27
54750,1/25/88 12:00 AM,32167,1988,1,25
214563,1/18/89 12:00 AM,32526,1989,1,18
147171,3/3/90 12:00 AM,32935,1990,3,3
46190,3/4/91 12:00 AM,33301,1991,3,4
264621,2/26/92 12:00 AM,33660,1992,2,26
316944,3/3/93 12:00 AM,34031,1993,3,3
199656,3/9/94 12:00 AM,34402,1994,3,9
121530,2/14/95 12:00 AM,34744,1995,2,14
242730,1/13/96 12:00 AM,35077,1996,1,13
209326,3/3/97 12:00 AM,35492,1997,3,3
102087,1/3/98 12:00 AM,35798,1998,1,3
22947,5/26/99 12:00 AM,36306,1999,5,26
61509,3/13/00 12:00 AM,36598,2000,3,13
260178,4/5/01 12:00 AM,36986,2001,4,5
257877,1/4/02 12:00 AM,37260,2002,1,4
206958,2/19/03 12:00 AM,37671,2003,2,19
342285,3/6/04 12:00 AM,38052,2004,3,6
67570,5/14/05 12:00 AM,38486,2005,5,14
261945,3/2/06 12:00 AM,38778,2006,3,2
270051,12/10/06 12:00 AM,39061,2006,12,10
35880,2/18/08 12:00 AM,39496,2008,2,18
47782,3/14/09 12:00 AM,39886,2009,3,14
169837,2/13/80 12:00 AM,29264,1980,2,13
122585,5/26/81 12:00 AM,29732,1981,5,26
348586,3/3/82 12:00 AM,30013,1982,3,3
61007,12/10/82 12:00 AM,30295,1982,12,10
38479,10/26/83 12:00 AM,30615,1983,10,26
625769,2/5/85 12:00 AM,31083,1985,2,5
88030,1/14/86 12:00 AM,31426,1986,1,14
54087,5/16/87 12:00 AM,31913,1987,5,16
46883,2/1/88 12:00 AM,32174,1988,2,1
