Year,Month,Day,water_year,water_month,water_day,model,flow,rcp
1983,10,25,1984,1,25,CNRM-CM5,33569.85,4.5
1983,10,26,1984,1,26,CNRM-CM5,38479.3,4.5
1983,10,27,1984,1,27,CNRM-CM5,30770.21,4.5
1984,1,9,1984,4,101,GFDL-CM3,42803.45,4.5
1984,1,10,1984,4,102,GFDL-CM3,43381.7,4.5
1984,1,11,1984,4,103,GFDL-CM3,42700.71,4.5
1984,1,12,1984,4,104,CCSM4,193893.82,4.5
1984,1,12,1984,4,104,GFDL-CM3,39357.48,4.5
1984,1,13,1984,4,105,CCSM4,218678.57,4.5
1984,1,14,1984,4,106,CCSM4,220629.88,4.5
1984,1,14,1984,4,106,GFDL-CM3,38872.05,4.5
1984,1,15,1984,4,107,CCSM4,211855.77,4.5
1984,1,16,1984,4,108,CCSM4,197089.84,4.5
1984,1,17,1984,4,109,CCSM4,183032.48,4.5
1984,1,18,1984,4,110,CCSM4,177077.45,4.5
1984,1,19,1984,4,111,CCSM4,170009.24,4.5
1984,1,19,1984,4,111,MIROC5,20896.3,4.5
1984,1,20,1984,4,112,CCSM4,161123.64,4.5
1984,1,20,1984,4,112,MIROC5,21280.94,4.5
1984,1,21,1984,4,113,CCSM4,150899.41,4.5
1984,1,21,1984,4,113,MIROC5,20906.45,4.5
1984,1,22,1984,4,114,CESM1-BGC,352927.04,4.5
1984,1,22,1984,4,114,MIROC5,20747.6,4.5
1984,1,23,1984,4,115,CESM1-BGC,358314.09,4.5
1984,1,23,1984,4,115,MIROC5,20800.75,4.5
1984,1,24,1984,4,116,CESM1-BGC,358582.7,4.5
1984,1,24,1984,4,116,MIROC5,21022.72,4.5
1984,1,25,1984,4,117,CESM1-BGC,331271.02,4.5
1984,1,26,1984,4,118,CESM1-BGC,283177.84,4.5
1984,1,28,1984,4,120,MIROC5,21769.25,4.5
1984,1,29,1984,4,121,MIROC5,24144.55,4.5
1984,1,30,1984,4,122,MIROC5,23393.71,4.5
1984,1,31,1984,4,123,MIROC5,22812.53,4.5
1984,2,1,1984,5,124,GFDL-CM3,38783.22,4.5
1984,2,8,1984,5,131,CMCC-CMS,221055.21,4.5
1984,2,9,1984,5,132,CMCC-CMS,281374.27,4.5
1984,2,10,1984,5,133,CMCC-CMS,301047.01,4.5
1984,2,11,1984,5,134,CMCC-CMS,295920.15,4.5
1984,2,12,1984,5,135,CMCC-CMS,274179.17,4.5
1984,2,13,1984,5,136,CMCC-CMS,242098.71,4.5
1984,2,14,1984,5,137,CMCC-CMS,203297.01,4.5
1984,2,15,1984,5,138,CMCC-CMS,175451.67,4.5
1984,2,18,1984,5,141,HadGEM2-ES,110137.36,4.5
1984,2,19,1984,5,142,HadGEM2-ES,175990.47,4.5
1984,2,20,1984,5,143,CESM1-BGC,343671.67,4.5
1984,2,20,1984,5,143,HadGEM2-ES,209661.4,4.5
1984,2,21,1984,5,144,CESM1-BGC,369048.25,4.5
1984,2,21,1984,5,144,GFDL-CM3,42498.38,4.5
1984,2,21,1984,5,144,HadGEM2-ES,228931.74,4.5
1984,2,22,1984,5,145,CESM1-BGC,336343.86,4.5
1984,2,22,1984,5,145,GFDL-CM3,45987.95,4.5
1984,2,22,1984,5,145,HadGEM2-ES,224878.26,4.5
1984,2,23,1984,5,146,CESM1-BGC,300524.13,4.5
1984,2,23,1984,5,146,GFDL-CM3,45171.16,4.5
1984,2,23,1984,5,146,HadGEM2-ES,194347.49,4.5
1984,2,24,1984,5,147,CESM1-BGC,269967.77,4.5
1984,2,24,1984,5,147,CNRM-CM5,28495.99,4.5
1984,2,24,1984,5,147,GFDL-CM3,40418.74,4.5
1984,2,24,1984,5,147,HadGEM2-ES,168809.53,4.5
1984,2,25,1984,5,148,CNRM-CM5,29955.49,4.5
1984,2,25,1984,5,148,HadGEM2-ES,145067.09,4.5
1984,2,26,1984,5,149,CNRM-CM5,31595.49,4.5
1984,2,26,1984,5,149,HadGEM2-ES,126449.8,4.5
1984,2,27,1984,5,150,CNRM-CM5,30922.02,4.5
1984,2,27,1984,5,150,HadGEM2-ES,116933.75,4.5
1984,2,28,1984,5,151,CNRM-CM5,30332.54,4.5
1984,2,29,1984,5,152,CNRM-CM5,29493.6,4.5
1984,3,1,1984,6,153,CNRM-CM5,28311.79,4.5
1984,3,7,1984,6,159,CanESM2,71961.48,4.5
1984,3,8,1984,6,160,CanESM2,72682.48,4.5
1984,3,23,1984,6,175,CMCC-CMS,174748.66,4.5
1984,3,24,1984,6,176,CMCC-CMS,175309.42,4.5
1984,3,25,1984,6,177,CanESM2,76355.28,4.5
1984,3,26,1984,6,178,CanESM2,90891.94,4.5
1984,3,27,1984,6,179,CanESM2,98715.14,4.5
1984,3,28,1984,6,180,CanESM2,103475.84,4.5
1984,3,29,1984,6,181,CanESM2,94814.35,4.5
1984,3,30,1984,6,182,CanESM2,82800.97,4.5
1984,3,31,1984,6,183,CanESM2,71885.73,4.5
1984,4,1,1984,7,184,CanESM2,74284.61,4.5
1984,5,3,1984,8,216,HadGEM2-CC,64592.79,4.5
1984,5,4,1984,8,217,HadGEM2-CC,69898.93,4.5
1984,5,5,1984,8,218,HadGEM2-CC,72756.65,4.5
1984,5,6,1984,8,219,HadGEM2-CC,70385.55,4.5
1984,5,7,1984,8,220,HadGEM2-CC,67174.95,4.5
1984,5,8,1984,8,221,HadGEM2-CC,68683.33,4.5
1984,5,9,1984,8,222,HadGEM2-CC,72878.61,4.5
